epoch,train_loss,train_rce,train_property,train_kl,valid_loss,valid_rce,valid_property,valid_kl
0,244.56702511850744,227.36224059853703,0.0,860.2392457338628,46.384156317450106,46.38215088378638,0.0,0.10027019970891615
1,177.4737276379019,177.46656579431146,0.0,0.17904777389276205,43.42274389229715,43.42143532726914,0.0,0.03271395517435849
2,161.6844809083268,161.6782120973803,0.0,0.10448075556337244,40.69497267715633,40.69377786107361,0.0,0.01991399989165643
3,153.13913542823866,153.13068530755118,0.0,0.10562707030612728,38.45605221018195,38.45414742361754,0.0,0.023809869002604955
4,147.1997008137405,147.18744034459814,0.0,0.1226049929528017,35.56518742162734,35.56217197049409,0.0,0.030154571828092003
5,142.40550013631582,142.3883914197795,0.0,0.14257306079434784,33.839347903151065,33.835414577741176,0.0,0.03277772202267215
6,138.4220052929595,138.3992395303212,0.0,0.1626125679949837,34.481159375980496,34.476238837465644,0.0,0.03514666658332999
7,135.2353622848168,135.20630373992026,0.0,0.18161603923863368,36.4022513711825,36.396658514626324,0.0,0.0349554521412756
8,132.4519335287623,132.41587369004264,0.0,0.20033243219904762,31.526905139908195,31.51841747807339,0.0,0.047153636041343816
9,129.9879029681906,129.94405393954366,0.0,0.21924502444403515,34.95304607693106,34.940534189809114,0.0,0.06255957876601315
10,127.47998013999313,127.428434912581,0.0,0.23429652571667248,34.46496911114082,34.45163944456726,0.0,0.060589448493260534
11,125.67379182903096,125.6137633305043,0.0,0.2501187798668525,32.66612371429801,32.65420704567805,0.0,0.04965273598077147
12,124.04861838184297,123.97857487527654,0.0,0.26939813100102583,31.237453125417233,31.21886768238619,0.0,0.07148250946761436
13,122.6292634010315,122.54797820653766,0.0,0.2903041502702308,36.090681860689074,36.085184902418405,0.0,0.019632081172943572
14,121.32844640454277,121.23648776020855,0.0,0.3065287389730429,31.84777023596689,31.82728762924671,0.0,0.06827533454475088
15,120.11671713367105,120.0120569029823,0.0,0.32706325232322797,36.58627914870158,36.556314846500754,0.0,0.09363843037522201
16,118.99740912904963,118.87950849346817,0.0,0.3467666583718483,31.431661022361368,31.3917945609428,0.0,0.11725434006586966
17,118.01318954769522,117.88077105209231,0.0,0.36782914052298565,35.27271847194061,35.23643967602402,0.0,0.10077439632379992
18,117.02086339192465,116.87482128990814,0.0,0.3843213870986233,30.97928820317611,30.97452538413927,0.0,0.012533738541236517
19,116.16477709263563,116.00242951326072,0.0,0.40586890987248125,31.896855962928385,31.890853554941714,0.0,0.015006013277542252
20,114.99427968729287,114.81682841992006,0.0,0.4225030083771344,38.33571533439681,38.293160235043615,0.0,0.10132165209222421
21,114.19215832930058,113.99678013054654,0.0,0.4440414066368703,36.70630874764174,36.67199208959937,0.0,0.07799244079001255
22,113.50578735815361,113.29368154890835,0.0,0.46109954713773504,41.26012201467529,41.204291868489236,0.0,0.12136987385588327
23,112.82223931979388,112.59260721784085,0.0,0.47840020725066523,39.371386103797704,39.34334231633693,0.0,0.05842458091933622
24,112.19707509037107,111.94609188940376,0.0,0.5019664119463414,33.29689823510125,33.21480765147135,0.0,0.16418114700354636
25,111.60151267563924,111.32811679597944,0.0,0.5257612814237405,36.97510887030512,36.88515960332006,0.0,0.1729793261715713
26,111.05687073012814,110.76344726141542,0.0,0.5433767162012657,36.28354271361604,36.175851572770625,0.0,0.19942800021226503
27,110.52294526482001,110.20748976618052,0.0,0.5633134027876565,40.48458711616695,40.39787103328854,0.0,0.15485012152294075
28,110.02315141027793,109.6823369092308,0.0,0.5876112128294722,37.00199924968183,36.90335568645969,0.0,0.17007515052387134
29,109.53597159124911,109.16862192004919,0.0,0.6122495017491474,36.64423116436228,36.55346160335466,0.0,0.1512825711943151
30,108.76753455679864,108.38638985529542,0.0,0.6147495085438095,35.23746248567477,35.12186802038923,0.0,0.18644271643233878
31,108.34485802147537,107.9377988986671,0.0,0.6360298861178535,38.096451243851334,37.96693190885708,0.0,0.20237399406869372
32,107.90015375474468,107.46514717536047,0.0,0.659100821116283,40.69104064349085,40.54682190809399,0.0,0.2185132379404422
33,107.54706396628171,107.08636589208618,0.0,0.6774971435460202,35.37892118282616,35.24889426631853,0.0,0.1912160381693866
